"","dia","Vd1","Pd","Nloss","Vd2","m","x_gauss"
"147",20200330,0.0212747544611841,0.00011668,1.7502e-06,0.0212811669006428,1.2136613530062,0.237081317481191
"148",20200331,0.0212881110227284,0.00011698,1.7547e-06,0.0212945234621871,1.21678757482375,0.238077855761421
"149",20200401,0.0213010992298616,0.0001176,1.764e-06,0.0213075116693203,1.22323859399675,0.239070890037437
"150",20200402,0.0213135609390514,0.00011858,1.7787e-06,0.0213199733785101,1.23537784920282,0.240064066458455
"151",20200403,0.0213257693996782,0.00011963,1.79445e-06,0.0213321818391369,1.246359771696,0.24105883118806
"152",20200404,0.0213376234965001,0.00012036,1.8054e-06,0.0213440359359588,1.25392653561686,0.242051081044508
"153",20200405,0.0213489672478833,0.00012115,1.81725e-06,0.021355379687342,1.26216371029093,0.24303988091387
"154",20200406,0.0213601246870894,0.00012184,1.8276e-06,0.0213665371265481,1.26936775224277,0.244027386342704
"155",20200407,0.0213716706982345,0.00012207,1.83105e-06,0.0213780831376932,1.27177853727243,0.245014931884381
"156",20200408,0.0213827281431982,0.00012251,1.83765e-06,0.0213891405826569,1.27637486256688,0.245995989944988
"157",20200409,0.0213933208853169,0.00012316,1.8474e-06,0.0213997333247756,1.28317749191494,0.246972696826986
"158",20200410,0.0214030876533956,0.00012382,1.8573e-06,0.0214095000928544,1.28998491882401,0.247941501083717
"159",20200411,0.021412401365929,0.00012467,1.87005e-06,0.0214188138053877,1.29883745336196,0.248907748525337
"160",20200412,0.0214214146144964,0.00012562,1.8843e-06,0.0214278270539551,1.30880132486414,0.249873822777535
"161",20200413,0.0214303523914769,0.00012638,1.8957e-06,0.0214367648309356,1.3166714666443,0.250840124210904
"162",20200414,0.021439947217015,0.00012664,1.8996e-06,0.0214463596564737,1.31986159541011,0.251809979412503
"163",20200415,0.0214492779899482,0.00012745,1.91175e-06,0.021455690429407,1.32822218840576,0.252778594672877
"164",20200416,0.0214581433043292,0.00012806,1.9209e-06,0.0214645557437879,1.33462721083203,0.253742317636599
"165",20200417,0.0214667104428261,0.00012861,1.92915e-06,0.0214731228822848,1.34036649541523,0.254702253901582
"166",20200418,0.0214750876748564,0.00012942,1.9413e-06,0.0214815001143152,1.34877831880506,0.255661650427457
"167",20200419,0.0214837666206003,0.0001303,1.9545e-06,0.021490179060059,1.35794398500189,0.256626030324423
"168",20200420,0.0214925749420081,0.00013132,1.9698e-06,0.0214989873814668,1.368627466562,0.257594850800781
"169",20200421,0.0215014978848355,0.00013217,1.98255e-06,0.0215079103242943,1.37746026674794,0.258566448785153
"170",20200422,0.0215103540723336,0.00013307,1.99605e-06,0.0215167665117923,1.38679165249191,0.259539352809216
"171",20200423,0.0215197150815429,0.00013364,2.0046e-06,0.0215261275210016,1.39273585383417,0.260516702432007
"172",20200424,0.0215297362487376,0.00013453,2.01795e-06,0.0215361486881963,1.40198549771594,0.261502697261974
"173",20200425,0.0215397206993538,0.00013511,2.02665e-06,0.0215461331388125,1.40804332266393,0.262487712001919
"174",20200426,0.0215498710832111,0.00013573,2.03595e-06,0.0215562835226698,1.41457047101396,0.263474200230491
"175",20200427,0.021560301308795,0.00013674,2.0511e-06,0.0215667137482538,1.4250929762847,0.264466403332884
"176",20200429,0.0215702323459755,0.0001384,2.076e-06,0.0215766447854342,1.44235888052871,0.26653704740358
"177",20200430,0.0215800508602389,0.00013904,2.0856e-06,0.0215864632996976,1.44903951731111,0.267524238446596
"178",20200501,0.0215896477434763,0.00013977,2.09655e-06,0.0215960601829351,1.45663509542659,0.268509637236275
