vento_vel,tamanho_medio,massaPM1,rainfall,massaPM2,massaPM4,numPM4,irr,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
0.0,0.44,2.09,0.0,0.07,0.0,0.0,0.0,0.0,0.05,30100,station,-127.0,17.26,0.0,0.0,20191023.0
0.0,0.44,1.96,0.0,0.07,0.0,0.0,0.0,0.0,0.04,30200,station,-127.0,16.16,0.0,0.0,20191023.0
0.0,0.45,2.07,0.0,0.07,0.0,0.0,0.0,0.0,0.05,30300,station,-127.0,17.06,0.0,0.0,20191023.0
0.0,0.45,2.13,0.0,0.07,0.0,0.0,0.0,0.0,0.05,30400,station,-127.0,17.54,0.0,0.0,20191023.0
0.0,0.44,1.75,0.0,0.06,0.0,0.0,0.0,0.0,0.04,30500,station,-127.0,14.4,0.0,0.0,20191023.0
0.0,0.43,1.87,0.0,0.06,0.0,0.0,0.0,0.0,0.04,30600,station,-127.0,15.45,0.0,0.0,20191023.0
0.0,0.42,2.04,0.0,0.07,0.0,0.0,0.0,0.0,0.05,30700,station,-127.0,16.84,0.0,0.0,20191023.0
0.0,0.43,1.74,0.0,0.06,0.0,0.0,0.0,0.0,0.04,30800,station,-127.0,14.4,0.0,0.0,20191023.0
0.0,0.43,2.16,0.0,0.07,0.0,0.0,0.0,0.0,0.05,30900,station,-127.0,17.81,0.0,0.0,20191023.0
0.0,0.43,1.78,0.0,0.06,0.0,0.0,0.0,0.0,0.04,31000,station,-127.0,14.66,0.0,0.0,20191023.0
0.0,0.43,1.71,0.0,0.06,0.0,0.0,0.0,0.0,0.04,31100,station,-127.0,14.08,0.0,0.0,20191023.0
0.0,0.43,1.89,0.0,0.06,0.0,0.0,0.0,0.0,0.04,31200,station,-127.0,15.55,0.0,0.0,20191023.0
0.0,0.44,1.97,0.0,0.07,0.0,0.0,0.0,0.0,0.04,31300,station,-127.0,16.28,0.0,0.0,20191023.0
0.0,0.44,1.81,0.0,0.06,0.0,0.0,0.0,0.0,0.04,31400,station,-127.0,14.96,0.0,0.0,20191023.0
0.0,0.44,1.82,0.0,0.06,0.0,0.0,0.0,0.0,0.04,31500,station,-127.0,15.05,0.0,0.0,20191023.0
0.0,0.43,1.77,0.0,0.06,0.0,0.0,0.0,0.0,0.04,31600,station,-127.0,14.57,0.0,0.0,20191023.0
0.0,0.43,2.02,0.0,0.07,0.0,0.0,0.0,0.0,0.05,31700,station,-127.0,16.69,0.0,0.0,20191023.0
