"","dia_mes_ano","hora_minuto","irr","massaPM1","massaPM2","massaPM4","massaPM10","numPM1","numPM2","numPM4","numPM10","tamanho_medio","temp","vento_dir","vento_vel","rainfall"
"1362",20200202,224300,0,2.46,0.08,0,0,20.29,0.06,0,0,0.46,24.12,270,0,0
"1363",20200202,224400,0,2.06,0.07,0,0,17,0.05,0,0,0.46,24.06,270,0,0
"1364",20200202,224500,0,2.37,0.08,0,0,19.52,0.05,0,0,0.46,23.94,270,0,0
"1365",20200202,224600,0,2.12,0.07,0,0,17.5,0.05,0,0,0.47,23.75,270,0,0
"1366",20200202,224700,0,2.31,0.08,0,0,19.08,0.05,0,0,0.46,23.75,270,0,0
"1367",20200202,224800,0,1.92,0.06,0,0,15.86,0.04,0,0,0.46,23.62,270,0,0
"1368",20200202,224900,0,2.26,0.08,0,0,18.64,0.05,0,0,0.46,23.56,270,0,0
"1369",20200202,225000,0,1.96,0.07,0,0,16.2,0.04,0,0,0.46,23.62,270,0,0
"1370",20200202,225100,0,2.29,0.08,0,0,18.93,0.05,0,0,0.45,23.69,270,0,0
"1371",20200202,225200,0,1.98,0.07,0,0,16.36,0.04,0,0,0.44,23.69,270,0,0
"1372",20200202,225300,0,2.15,0.07,0,0,17.76,0.05,0,0,0.47,23.62,270,0,0
"1373",20200202,225400,0,2.45,0.08,0,0,20.19,0.06,0,0,0.47,23.5,270,0,0
"1374",20200202,225500,0,2.57,0.09,0,0,21.19,0.06,0,0,0.47,23.5,270,0,0
"1375",20200202,225600,0,2.29,0.08,0,0,18.88,0.05,0,0,0.47,23.44,270,0,0
"1376",20200202,225700,0,1.85,0.06,0,0,15.26,0.04,0,0,0.47,23.31,270,0,0
"1377",20200202,225800,0,2.06,0.07,0,0,17.01,0.05,0,0,0.46,23.31,270,0,0
"1378",20200202,225900,0,2.05,0.07,0,0,16.89,0.05,0,0,0.47,23.25,270,0,0
"1379",20200202,230000,0,2.38,0.08,0,0,19.63,0.05,0,0,0.47,23.38,270,0,0
