dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_AC,P_DC,I_AC,V_AC,I_DC,V_DC,massaPM4,numPM4,massaPM10,numPM10,rainfall,irr_est
20200303,070900,237.5,0.81,6.62,0.05,0.05,0.53,22.74,29.13,90,2178.1,2214.5,9.98,218.69,3.84,577.13,0.02,0,0,0,0,0
20200303,071900,282.9,0.8,6.57,0.07,0.06,0.54,22.95,36.04,99,2587.1,2679.95,12,219.33,4.64,578.13,0.03,0.01,0,0,0,0
20200303,072900,330,0.77,6.32,0.02,0.02,0.52,23.35,37.11,85.5,3075.4,3113.57,14.02,219.35,5.43,573.4,0,0,0,0,0,0
20200303,073900,376.3,0.81,6.66,0.03,0.02,0.5,23.99,26.73,108,3500.4,3550.32,15.91,220.11,6.24,569.49,0,0,0,0,0,0
20200303,074900,422.8,0.84,6.9,0.04,0.03,0.53,24.18,27.66,126,3924.3,3982.52,17.74,221.22,7,568.98,0.01,0,0,0,0,0
20200303,075900,469.7,0.88,7.28,0.03,0.02,0.52,24.88,29.39,103.5,4339.9,4397.16,19.7,220.35,7.81,562.82,0,0,0,0,0,0
20200303,080900,514,0.92,7.62,0.03,0.02,0.5,24.93,34.05,90,4746.7,4813.56,21.56,220.35,8.57,561.49,0,0,0,0,0,0
20200303,081900,555.9,0.83,6.88,0.03,0.02,0.5,25.18,30.32,94.5,5105.4,5177.95,23.14,220.78,9.32,555.67,0,0,0,0,0,0
20200303,082900,598.6,0.87,7.16,0.03,0.02,0.5,25.27,28.33,108,5460.7,5538.12,24.64,221.66,9.99,554.1,0,0,0,0,0,0
20200303,083900,639.7,0.87,7.14,0.03,0.02,0.5,25.98,27.93,103.5,5788.2,5876.21,26.17,221.11,10.71,548.67,0,0,0,0,0,0
20200303,084900,682.8,0.9,7.4,0.03,0.02,0.49,26.24,22.34,137,6102.8,6209.25,27.61,220.97,11.4,544.56,0,0,0,0,0,0
20200303,085900,720.8,0.97,7.98,0.03,0.02,0.5,25.83,29.13,94.5,6253.6,6504.33,28.76,221.1,11.97,543.18,0,0,0,0,0,0
